user_id,browser,program,hrs_per_week
769245,IE,binge,4.91
21650570,Safari,binge,3.97
91760162,Chrome,drip,3.55
90748752,Chrome,drip,5.46
66876824,Chrome,binge,3.87
33912820,Chrome,drip,5.14
15763545,Chrome,drip,4.9
99045087,Chrome,drip,3.72
79655090,Firefox,drip,8.65
87050781,Chrome,binge,6.28
96662425,Chrome,binge,5.22
21320800,Chrome,drip,4.59
89218585,Chrome,drip,3.91
2577444,IE,drip,4.09
40185100,Opera,drip,0.0
46452616,Chrome,drip,1.41
7744634,Safari,binge,2.28
34438273,Chrome,binge,4.39
96007359,Safari,drip,0.72
7736616,Firefox,drip,6.54
68255097,IE,drip,6.32
85117039,Firefox,drip,1.6
32192592,Firefox,drip,1.01
11092288,Chrome,binge,8.57
46619653,Chrome,binge,4.03
48524545,Chrome,binge,3.97
55679060,Firefox,binge,3.89
94043268,Firefox,binge,7.0
21801732,Chrome,drip,3.21
10948720,Chrome,binge,3.02
23452655,Chrome,drip,4.94
39697578,Firefox,binge,10.54
11506115,Firefox,binge,2.86
54727264,Chrome,binge,8.3
61861056,Chrome,drip,6.62
6092136,Firefox,drip,6.46
76582988,IE,binge,14.46
50092055,IE,binge,7.03
1056733,Firefox,drip,0.01
52754855,Chrome,drip,6.65
31744257,Chrome,binge,6.04
64230043,Firefox,drip,6.18
45461682,Chrome,binge,9.75
18699290,Firefox,drip,5.31
74692889,Safari,drip,4.71
14365048,IE,binge,9.38
4296470,Chrome,binge,8.29
71600740,IE,binge,4.11
36099912,Chrome,drip,6.89
21760244,Opera,drip,0.0
97394254,Safari,binge,13.58
19728634,Chrome,binge,6.67
21044704,Opera,drip,0.0
9659701,IE,binge,1.81
79796686,IE,drip,4.72
36133066,IE,drip,1.75
36707610,Firefox,binge,0.78
98098382,Firefox,binge,7.39
44252512,Chrome,drip,5.81
30984711,IE,binge,2.91
68650588,Chrome,drip,5.92
80208819,Firefox,binge,2.49
50905590,Chrome,binge,4.28
3660994,IE,binge,5.83
41239154,Chrome,drip,7.31
8929427,Opera,drip,0.0
39997678,Safari,binge,3.06
39778192,Safari,binge,5.65
86192394,Chrome,binge,0.87
39463109,Chrome,binge,4.11
94429678,IE,binge,7.5
18909930,IE,drip,0.1
58152326,Firefox,drip,3.69
50073893,Firefox,binge,4.3
