user_id,registration,country
90482091,2015-11-01,Germany
41529564,2015-11-01,Germany
47570654,2015-11-01,Germany
96119909,2015-10-31,Germany
57248612,2015-10-29,France
79990600,2015-10-30,France
13213188,2015-10-30,France
76447048,2015-10-28,France
99268237,2015-10-29,Germany
60777387,2015-11-01,France
1387763,2015-10-30,Germany
26819821,2015-10-28,Germany
67849508,2015-10-28,Germany
90209312,2015-11-01,Germany
12677262,2015-10-30,France
86145764,2015-10-28,France
51762169,2015-11-01,Germany
51331080,2015-10-30,Germany
60217084,2015-11-01,Italy
9746296,2015-10-28,Germany
98024006,2015-10-31,Germany
92359054,2015-11-01,Germany
54565719,2015-10-31,France
62063995,2015-10-29,Germany
87289466,2015-10-29,France
71617239,2015-10-31,Germany
46604781,2015-11-01,France
48786407,2015-10-29,Italy
19690361,2015-10-30,Germany
58863553,2015-10-31,France
79492176,2015-10-29,Germany
71762659,2015-10-28,Germany
41606836,2015-10-31,France
20094694,2015-10-29,Germany
99418144,2015-11-01,France
13461560,2015-10-31,Italy
58853466,2015-10-28,Germany
52225509,2015-10-31,France
12911223,2015-10-28,Germany
17045064,2015-10-29,Germany
63832950,2015-11-01,France
59200623,2015-10-31,Germany
62665664,2015-11-01,Germany
20271167,2015-10-28,France
76591006,2015-10-29,Germany
10356276,2015-11-01,France
51768177,2015-10-28,Germany
33344963,2015-10-30,France
1225910,2015-10-31,France
43105943,2015-10-29,Germany
81955892,2015-10-30,Italy
99941345,2015-10-31,Germany
81207968,2015-10-28,Germany
91409086,2015-10-30,France
19491805,2015-10-30,France
22398211,2015-10-31,Germany
5003641,2015-10-30,Germany
14423714,2015-10-28,Italy
8948874,2015-11-01,Italy
37029192,2015-10-29,Germany
66566183,2015-10-29,Germany
7830192,2015-10-31,Germany
42687018,2015-10-31,France
12401767,2015-11-01,Germany
57262623,2015-11-01,Germany
853568,2015-10-28,France
66980391,2015-10-30,Germany
21033613,2015-10-29,France
90928865,2015-10-28,France
57802336,2015-10-30,Germany
95083184,2015-10-31,Germany
60447375,2015-10-30,Germany
32562854,2015-11-01,Italy
84375721,2015-10-31,France
27113275,2015-10-28,Germany
